spp1,spp2,div_time_kya,gen_time,pop_size,mut_rate,gens,ne_gens,real_gen_time,real_gens,real_pop_size_anc,real_pop_size1,real_pop_size2
Homo,Pan_troglodytes,3765,20,10000,1.00E-09,188250.00,18.825,20,188250,49556,7672,56300
Homo,Pan_paniscus,3765.6,20,10000,1.00E-09,188280.00,18.828,20,188280,49556,7672,5400
Homo,Gorilla,5619.3,20,10000,1.00E-09,280965.00,28.0965,20,280965,47059,7672,20132
Homo,Pongo_pygmaeus,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,7672,7692
Homo,Pongo_abelii,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,7672,16731
Pan_troglodytes,Pan_paniscus,871,20,10000,1.00E-09,43550.00,4.355,20,43550,37483,56300,5400
Pan_troglodytes,Gorilla,5619.3,20,10000,1.00E-09,280965.00,28.0965,20,280965,47059,56300,20132
Pan_troglodytes,Pongo_pygmaeus,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,56300,7692
Pan_troglodytes,Pongo_abelii,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,56300,16731
Pan_paniscus,Gorilla,5619.3,20,10000,1.00E-09,280965.00,28.0965,20,280965,47059,5400,20132
Pan_paniscus,Pongo_pygmaeus,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,5400,7692
Pan_paniscus,Pongo_abelii,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,5400,16731
Gorilla,Pongo_pygmaeus,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,20132,7692
Gorilla,Pongo_abelii,11138.4,20,10000,1.00E-09,556920.00,55.692,20,556920,125089,20132,16731
Pongo_pygmaeus,Pongo_abelii,485,20,10000,1.00E-09,24250.00,2.425,26,18653.84615,19231,7692,7692